,artist_name,artist_id,playlist_song,country,artist_uri
49,Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y,DISPARA ***,PE,spotify:artist:2UZIAOlrnyZmyzt1nuXr9y
0,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Is It Over Now? (Taylor's Version) (From The Vault),AU,spotify:artist:06HL4z0CvFAxyc27GXpf02
1,Drake,3TVXtAsR1Inumwj472S9r4,Rich Baby Daddy (feat. Sexyy Red & SZA),AU,spotify:artist:3TVXtAsR1Inumwj472S9r4
2,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,AU,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
3,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Eyes Closed,AU,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
4,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Last Night,AU,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM
5,Luke Combs,718COspgdWOnwOFpJHRZHS,Fast Car,AU,spotify:artist:718COspgdWOnwOFpJHRZHS
6,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Heartless,AU,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
7,SZA,7tYKF4w9nC0nq9CsPZTHyP,Kill Bill,AU,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP
8,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Monster,AU,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
9,Post Malone,246dkjvS1zLTtiykXe5h60,Chemical,AU,spotify:artist:246dkjvS1zLTtiykXe5h60
10,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,AU,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
11,21 Savage,1URnnhqYAYcrqrcwql10ft,ball w/o you,AU,spotify:artist:1URnnhqYAYcrqrcwql10ft
12,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,I KNOW ?,AU,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
