song_id,Song Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0SiywuOBRcynK0uKGWdCnn,Bad Romance,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573,4
11P4sSu6BH2lAbWk1sL6cK,Step Into Christmas - Remastered 1995,0.54,0.928,2,-6.252,1,0.0337,0.0887,1.11e-05,0.314,0.796,140.419,272333,4
2xGO2UjzxeVQSIkyg98vck,Thank God It's Christmas - Non-Album Single,0.296,0.421,7,-8.891,1,0.0285,0.214,0.0,0.232,0.335,83.425,261627,5
5T8EDUDqKcs6OSOwEsfqG7,Don't Stop Me Now - Remastered 2011,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,209413,4
4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,354320,4
1a73gcEg6h6Re6hHXoVltJ,FTCU,0.928,0.458,11,-6.751,1,0.187,0.0175,0.000446,0.118,0.242,144.995,172138,4
5ZJGv7aGdIr9IGpxzSG18T,Everybody (feat. Lil Uzi Vert),0.736,0.769,11,-5.546,0,0.258,0.027,0.0,0.23,0.388,137.947,180870,4
2S5NuP68ckFRvC0qMd7dVR,Beauty And A Beat,0.587,0.82,0,-5.319,1,0.0668,0.0011,7.36e-06,0.131,0.578,127.976,226613,4
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4
47Slg6LuqLaX0VodpSCvPt,Just the Way You Are,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734,4
1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4
1gv4xPanImH17bKZ9rOveR,Raise Your Glass,0.7,0.709,7,-5.006,1,0.0838,0.0048,0.0,0.029,0.624,122.019,202960,4
1gUwi1o1S9W9P0FQgJdY8s,TRUSTFALL,0.636,0.888,8,-3.889,1,0.0945,0.00162,0.000216,0.147,0.25,122.032,237200,4
5qaEfEh1AtSdrdrByCP7qR,Demons,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.269,0.428,89.938,177507,4
0pqnGHJpmpxLKifKRmU6WP,Believer,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,204347,4
54ipXppHLA8U4yqpOFTUhr,Bones,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061,165265,4
5LkmpgQYtwHtuvASgnLBe1,ダンスホール,0.736,0.695,7,-3.87,1,0.0468,0.0209,0.0,0.0517,0.784,109.976,203150,4
170XOP1T4MvY9TLTgPw07D,Magic,0.671,0.758,7,-3.793,1,0.0474,0.0604,0.0,0.332,0.537,117.51,263107,4
