song_id,song_name,artist_name,artist_id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_code
7hDVYcQq6MxkdJGweuCtl9,ocean eyes,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,2017-12-22,85,0.511,0.363,4.0,-7.65,0.0,0.041,0.816,0.0317,0.084,0.169,144.892,200379.0,4.0,bb
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),21 Savage,1URnnhqYAYcrqrcwql10ft,2022-12-02,92,0.715,0.62,1.0,-6.005,0.0,0.0484,0.417,0.0,0.0822,0.172,97.95,221520.0,4.0,cc
52eIcoLUM25zbQupAZYoFh,redrum,21 Savage,1URnnhqYAYcrqrcwql10ft,2024-01-12,89,,,,,,,,,,,,,,aa
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),21 Savage,1URnnhqYAYcrqrcwql10ft,2022-06-17,89,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365.0,4.0,bb
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,2023-09-08,95,0.511,0.532,5.0,-5.745,1.0,0.0578,0.177,0.0,0.291,0.35,138.005,219724.0,4.0,cc
17cia5k4BpGVlyEfqrFH50,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,2023-11-17,87,0.518,0.368,11.0,-7.76,0.0,0.0353,0.855,4.9e-06,0.119,0.234,141.934,205484.0,4.0,aa
3IX0yuEVvDbnqUwMBB3ouC,bad idea right?,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,2023-09-08,89,0.627,0.879,9.0,-3.446,1.0,0.0955,0.00193,6.87e-06,0.0647,0.748,129.979,184784.0,4.0,bb
2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),Future,1RyvyyTE3xzB2ZywiAwp0i,2022-12-02,90,0.684,0.671,7.0,-4.392,0.0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,199920.0,4.0,cc
0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],Future,1RyvyyTE3xzB2ZywiAwp0i,2022-12-02,89,0.526,0.606,5.0,-5.3,0.0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667.0,4.0,aa
1i9lZvlaDdWDPyXEE95aiq,TELEKINESIS (feat. SZA & Future),Future,1RyvyyTE3xzB2ZywiAwp0i,2023-07-28,87,0.458,0.535,5.0,-4.854,0.0,0.0281,0.575,0.0,0.168,0.216,82.826,353755.0,4.0,bb
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,2000-07-10,92,0.429,0.661,11.0,-7.227,1.0,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773.0,4.0,cc
