,artist,song_name,song_id,release_date,release_date_precision,popularity
75,Adele,Set Fire to the Rain,3di5hcvxxciiqwMH1jarhY,2011-01-24,day,86
76,Adele,Skyfall,6VObnIkLVruX4UVyxWhlqm,2012-10-04,day,89
77,Adele,Easy On Me,46IZ0fSY2mpAiktS3KOqds,2021-11-19,day,84
78,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,2019-05-17,day,91
79,Lewis Capaldi,Before You Go,2gMXnyrvIjhVBUZwvLZDMP,2019-11-22,day,87
80,Lewis Capaldi,Wish You The Best,3gdPwk2wyOXNRnTA1KXnEr,2023-05-19,day,84
81,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,2022-12-02,day,92
82,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),2Hh3ETdQKrmSI3QS0hme7g,2022-12-02,day,90
83,Metro Boomin,Trance (with Travis Scott & Young Thug),5wG3HvLhF6Y5KTGlK0IW3J,2022-12-02,day,89
84,Miley Cyrus,Flowers,7DSAEUvxU8FajXtRloy8M0,2023-08-18,day,94
85,Miley Cyrus,Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,2009-01-01,day,85
86,Miley Cyrus,Angels Like You,1daDRI9ahBonbWD8YcxOIB,2020-11-27,day,88
87,Kendrick Lamar,Money Trees,74tLlkN3rgVzRqQJgPfink,2012,year,84
88,Kendrick Lamar,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,2018-02-09,day,87
89,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,2017-04-14,day,87
90,Ariana Grande,"yes, and?",7gaA3wERFkFkgivjwbSvkG,2024-01-12,day,94
91,Ariana Grande,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,2014-11-24,day,92
92,Ariana Grande,Die For You (with Ariana Grande) - Remix,4W4fNrZYkobj539TOWsLO2,2023-03-14,day,85
93,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,2018-10-05,day,86
94,Lil Baby,Freestyle,5BbdKBZO0TH0GhfxUfyhL9,2017-12-01,day,85
95,Lil Baby,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,2018-11-30,day,84
96,Oasis,Wonderwall - Remastered,7ygpwy2qP3NbrxVkHvUhXY,1995,year,80
97,Oasis,Don't Look Back In Anger - Remastered,12dU3vAh6AFoJkisorfoUl,1995,year,74
98,Oasis,Stop Crying Your Heart Out,0SlpFHdk4UHBDzCEoXzy14,2002-07-01,day,68
