,playlist_position,artist_name,artist_id,country,artist_uri,location,artist_genre1,artist_genre2,artist_genre3
273,24,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,CA,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,"Paris, France",big room,dance pop,edm
274,25,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,CA,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,"Philadelphia, Pennsylvania, U.S.",hip hop,melodic rap,philly rap
275,26,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,CA,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,"Los Angeles, California, U.S.",art pop,pop,
276,27,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,CA,spotify:artist:5YGY8feqx7naU7z4HrwZM6,"Franklin, Tennessee, U.S.",pop,,
277,28,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,CA,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,"Los Angeles, California, U.S.",dance pop,pop,
278,29,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,CA,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,"Boca Raton, Florida, U.S.",pop,,
279,30,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,CA,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ,"College Park, Georgia, U.S.",atl hip hop,melodic rap,rap
280,31,$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,CA,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,"New Orleans, Louisiana, U.S.",cloud rap,dark trap,new orleans rap
281,32,Lil Durk,3hcs9uc56yIGFCSy9leWe7,CA,spotify:artist:3hcs9uc56yIGFCSy9leWe7,"Chicago, Illinois, U.S.",chicago drill,chicago rap,drill
282,33,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,CA,spotify:artist:53XhwfbYqKCa1cC15pYq2q,"Las Vegas, Nevada, U.S.",modern rock,pop,rock
283,34,Harry Styles,6KImCVD70vtIoJWnq6nGn3,CA,spotify:artist:6KImCVD70vtIoJWnq6nGn3,"Holmes Chapel, England",pop,,
284,35,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,CA,spotify:artist:1McMsnEElThX1knmY4oliG,"Murrieta, California, U.S.",pop,,
285,36,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,CA,spotify:artist:31W5EY0aAly4Qieq6OFu6I,"New York City, U.S.",melodic rap,rap,trap
286,37,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,CA,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,"New York City, U.S.",hip pop,pop,queens hip hop
287,38,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,CA,spotify:artist:15UsOTVnJzReFVN1VCnxy4,"Broward County, Florida, U.S.",emo rap,miami hip hop,rap
288,39,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,CA,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,"Hawthorne, California, U.S.",hip hop,rap,
289,40,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,CA,spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,"Strafford, Vermont, U.S.",pov: indie,,
290,41,Yeat,3qiHUAX7zY4Qnjx8TNUzVx,CA,spotify:artist:3qiHUAX7zY4Qnjx8TNUzVx,"Portland, Oregon, U.S.",pluggnb,rage rap,
291,42,Polo G,6AgTAQt8XS6jRWi4sX7w49,CA,spotify:artist:6AgTAQt8XS6jRWi4sX7w49,"Old Town,Chicago,Illinois, U.S.",chicago rap,rap,
292,43,Khalid,6LuN9FCkKOj5PcnpouEgny,CA,spotify:artist:6LuN9FCkKOj5PcnpouEgny,"El Paso, Texas, U.S.",pop,pop r&b,
293,44,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,CA,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,"London, England",dance pop,pop,uk pop
294,45,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,CA,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,"Tappahannock, Virginia, U.S.",r&b,rap,
295,46,Beyoncé,6vWDO969PvNqNYHIOW5v0m,CA,spotify:artist:6vWDO969PvNqNYHIOW5v0m,"Houston, Texas, U.S.",pop,r&b,
296,47,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,CA,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,"London, England",permanent wave,pop,
297,48,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,CA,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,"New York City, U.S.",brooklyn drill,rap,
298,49,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,CA,spotify:artist:1HY2Jd0NmPuamShAr6KMms,"New York City, US",art pop,dance pop,pop
299,50,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,CA,spotify:artist:0du5cEVh5yTK9QJze8zA0C,"Honolulu, Hawaii, U.S.",dance pop,pop,
